=================================================================================================================================================
REPOSITORY: ALGORITHMS | FULL CONFUSION SCORE RANKING
=================================================================================================================================================
Function                     | Class              | File Path                           | Line  | Comp | Hits | Doc? | Score 
-------------------------------------------------------------------------------------------------------------------------------------------------
_test                        | None               | ...ructures/binary_tree/avl_tree.py | 332   | 1    | 2    | No   | 0.6667
traverse                     | SegmentTree        | ...inary_tree/segment_tree_other.py | 204   | 5    | 1    | No   | 0.5881
stooge                       | None               | sorts/stooge_sort.py                | 14    | 4    | 1    | No   | 0.5770
merge                        | None               | sorts/tim_sort.py                   | 30    | 4    | 1    | No   | 0.5770
populate_output              | None               | ...y_tree/binary_tree_traversals.py | 129   | 4    | 1    | No   | 0.5770
populate_output              | None               | ...y_tree/binary_tree_traversals.py | 151   | 4    | 1    | No   | 0.5770
__iter__                     | Node               | ...binary_tree/basic_binary_tree.py | 13    | 3    | 1    | No   | 0.5659
pytests                      | None               | ...uctures/linked_list/skip_list.py | 408   | 2    | 1    | No   | 0.5548
main                         | None               | ...y_tree/binary_tree_traversals.py | 185   | 2    | 1    | No   | 0.5548
heap_sort                    | Heap               | data_structures/heap/heap.py        | 232   | 2    | 1    | No   | 0.5548
__init__                     | Node               | ...ructures/linked_list/__init__.py | 15    | 1    | 1    | No   | 0.5436
__init__                     | Node               | ...res/linked_list/from_sequence.py | 8     | 1    | 1    | No   | 0.5436
__init__                     | Node               | .../binary_search_tree_recursive.py | 20    | 1    | 1    | No   | 0.5436
__init__                     | BinarySearchTree   | .../binary_search_tree_recursive.py | 28    | 1    | 1    | No   | 0.5436
__init__                     | Node               | ...stack_with_singly_linked_list.py | 12    | 1    | 1    | No   | 0.5436
del_node                     | None               | ...ructures/binary_tree/avl_tree.py | 198   | 13   | 0    | No   | 0.4667
merge                        | None               | sorts/recursive_mergesort_array.py  | 8     | 7    | 2    | Yes  | 0.4000
__repr__                     | RedBlackTree       | ...es/binary_tree/red_black_tree.py | 487   | 7    | 0    | No   | 0.4000
is_full                      | Node               | ...binary_tree/basic_binary_tree.py | 23    | 7    | 0    | No   | 0.4000
insert_node                  | None               | ...ructures/binary_tree/avl_tree.py | 150   | 7    | 0    | No   | 0.4000
__str__                      | AVLtree            | ...ructures/binary_tree/avl_tree.py | 296   | 7    | 0    | No   | 0.4000
sift_down                    | MinHeap            | data_structures/heap/min_heap.py    | 67    | 7    | 0    | No   | 0.4000
oe_process                   | None               | ...d_even_transposition_parallel.py | 32    | 6    | 0    | No   | 0.3889
remove                       | BinarySearchTree   | ...inary_tree/binary_search_tree.py | 280   | 6    | 0    | No   | 0.3889
insert                       | Node               | sorts/tree_sort.py                  | 29    | 5    | 0    | No   | 0.3778
binary_search                | None               | sorts/tim_sort.py                   | 4     | 5    | 0    | No   | 0.3778
refresh                      | FilesArray         | sorts/external_sort.py              | 71    | 5    | 0    | No   | 0.3778
delete                       | DoublyLinkedList   | ...inked_list/doubly_linked_list.py | 159   | 5    | 0    | No   | 0.3778
_query_range                 | SegmentTree        | ...inary_tree/segment_tree_other.py | 186   | 5    | 0    | No   | 0.3778
depth_first_search           | BinaryTreePathSum  | ...ary_tree/binary_tree_path_sum.py | 80    | 5    | 0    | No   | 0.3778
_delete                      | TrieNode           | data_structures/trie/trie.py        | 56    | 5    | 0    | No   | 0.3778
split                        | FileSplitter       | sorts/external_sort.py              | 26    | 4    | 0    | No   | 0.3667
select                       | NWayMerge          | sorts/external_sort.py              | 48    | 4    | 0    | No   | 0.3667
parse_memory                 | None               | sorts/external_sort.py              | 128   | 4    | 0    | No   | 0.3667
delete_value                 | LinkedList         | ...d_list/doubly_linked_list_two.py | 141   | 4    | 0    | No   | 0.3667
_put                         | BinarySearchTree   | .../binary_search_tree_recursive.py | 74    | 4    | 0    | No   | 0.3667
_search                      | BinarySearchTree   | .../binary_search_tree_recursive.py | 104   | 4    | 0    | No   | 0.3667
_reassign_nodes              | BinarySearchTree   | .../binary_search_tree_recursive.py | 146   | 4    | 0    | No   | 0.3667
_update_tree                 | SegmentTree        | ...inary_tree/segment_tree_other.py | 176   | 4    | 0    | No   | 0.3667
__reassign_nodes             | BinarySearchTree   | ...inary_tree/binary_search_tree.py | 145   | 4    | 0    | No   | 0.3667
time_solve                   | None               | ...ructures/arrays/sudoku_solver.py | 176   | 4    | 0    | No   | 0.3667
next_prime                   | None               | ...g/number_theory/prime_numbers.py | 50    | 4    | 0    | No   | 0.3667
__iter__                     | Node               | sorts/tree_sort.py                  | 19    | 3    | 0    | No   | 0.3556
bitonic_merge                | None               | sorts/bitonic_sort.py               | 41    | 3    | 2    | Yes  | 0.3556
is_sorted                    | None               | sorts/bogo_sort.py                  | 33    | 3    | 0    | No   | 0.3556
