=================================================================================================================================================
REPOSITORY: FLASK | FULL CONFUSION SCORE RANKING
=================================================================================================================================================
Function                     | Class              | File Path                           | Line  | Comp | Hits | Doc? | Score 
-------------------------------------------------------------------------------------------------------------------------------------------------
add_url_rule                 | App                | src/flask/sansio/app.py             | 605   | 12   | 1    | No   | 0.6699
dispatch_request             | MethodView         | src/flask/views.py                  | 182   | 3    | 2    | No   | 0.5960
wrapper                      | None               | src/flask/app.py                    | 87    | 3    | 2    | No   | 0.5960
wrapper                      | None               | src/flask/app.py                    | 99    | 3    | 2    | No   | 0.5960
wrapper                      | Blueprint          | src/flask/sansio/blueprints.py      | 240   | 2    | 2    | No   | 0.5784
_get_current_object          | ProxyMixin         | src/flask/globals.py                | 18    | 1    | 2    | No   | 0.5609
view                         | View               | src/flask/views.py                  | 115   | 1    | 2    | No   | 0.5609
from_blueprint               | Blueprint          | src/flask/sansio/blueprints.py      | 664   | 1    | 2    | No   | 0.5609
save_session                 | SecureCookieSes... | src/flask/sessions.py               | 337   | 5    | 1    | No   | 0.5471
_env_file_callback           | None               | src/flask/cli.py                    | 493   | 5    | 1    | No   | 0.5471
open_session                 | SecureCookieSes... | src/flask/sessions.py               | 323   | 4    | 1    | No   | 0.5295
__init__                     | Blueprint          | src/flask/sansio/blueprints.py      | 174   | 4    | 1    | No   | 0.5295
__init__                     | EnvironBuilder     | src/flask/testing.py                | 49    | 12   | 0    | No   | 0.5263
__get__                      | ConfigAttribute    | src/flask/config.py                 | 35    | 3    | 1    | No   | 0.5120
_load_plugin_commands        | FlaskGroup         | src/flask/cli.py                    | 600   | 3    | 1    | No   | 0.5120
__init__                     | Environment        | src/flask/templating.py             | 42    | 2    | 1    | No   | 0.4944
__init__                     | Config             | src/flask/config.py                 | 94    | 2    | 1    | No   | 0.4944
__repr__                     | _AppCtxGlobals     | src/flask/ctx.py                    | 111   | 2    | 1    | No   | 0.4944
__repr__                     | AppContext         | src/flask/ctx.py                    | 518   | 2    | 1    | No   | 0.4944
__init_subclass__            | Flask              | src/flask/app.py                    | 255   | 10   | 0    | No   | 0.4912
index                        | None               | .../celery/src/task_app/__init__.py | 20    | 1    | 1    | No   | 0.4769
index                        | None               | ...s/javascript/js_example/views.py | 10    | 1    | 1    | No   | 0.4769
__init__                     | DispatchingJinj... | src/flask/templating.py             | 54    | 1    | 1    | No   | 0.4769
_render                      | None               | src/flask/templating.py             | 123   | 1    | 1    | No   | 0.4769
_stream                      | None               | src/flask/templating.py             | 163   | 1    | 1    | No   | 0.4769
generate                     | None               | src/flask/templating.py             | 172   | 1    | 1    | No   | 0.4769
__init__                     | Blueprint          | src/flask/blueprints.py             | 19    | 1    | 1    | No   | 0.4769
__set__                      | ConfigAttribute    | src/flask/config.py                 | 46    | 1    | 1    | No   | 0.4769
view                         | View               | src/flask/views.py                  | 106   | 1    | 1    | No   | 0.4769
__enter__                    | AppContext         | src/flask/ctx.py                    | 506   | 1    | 1    | No   | 0.4769
app                          | None               | src/flask/cli.py                    | 963   | 1    | 1    | No   | 0.4769
main                         | None               | src/flask/cli.py                    | 1122  | 1    | 1    | No   | 0.4769
register_template_filter     | Blueprint          | src/flask/sansio/blueprints.py      | 492   | 1    | 1    | No   | 0.4769
app_template_test            | Blueprint          | src/flask/sansio/blueprints.py      | 498   | 1    | 1    | No   | 0.4769
decorator                    | Blueprint          | src/flask/sansio/blueprints.py      | 525   | 1    | 1    | No   | 0.4769
register_template_test       | Blueprint          | src/flask/sansio/blueprints.py      | 550   | 1    | 1    | No   | 0.4769
register_template_global     | Blueprint          | src/flask/sansio/blueprints.py      | 608   | 1    | 1    | No   | 0.4769
decorator                    | Blueprint          | src/flask/sansio/blueprints.py      | 663   | 1    | 1    | No   | 0.4769
decorator                    | Scaffold           | src/flask/sansio/scaffold.py        | 368   | 1    | 1    | No   | 0.4769
decorator                    | Scaffold           | src/flask/sansio/scaffold.py        | 461   | 1    | 1    | No   | 0.4769
decorator                    | Scaffold           | src/flask/sansio/scaffold.py        | 643   | 1    | 1    | No   | 0.4769
__init_subclass__            | MethodView         | src/flask/views.py                  | 165   | 7    | 0    | No   | 0.4386
_dump_loader_info            | None               | src/flask/debughelpers.py           | 107   | 7    | 0    | No   | 0.4386
open                         | FlaskClient        | src/flask/testing.py                | 204   | 7    | 0    | No   | 0.4386
_prepare_response_obj        | JSONProvider       | src/flask/json/provider.py          | 75    | 7    | 0    | No   | 0.4386
convert                      | CertParamType      | src/flask/cli.py                    | 791   | 6    | 0    | No   | 0.4211
_default                     | None               | src/flask/json/provider.py          | 108   | 6    | 0    | No   | 0.4211
_get_source_explained        | DispatchingJinj... | src/flask/templating.py             | 64    | 5    | 0    | No   | 0.4035
list_templates               | DispatchingJinj... | src/flask/templating.py             | 108   | 5    | 0    | No   | 0.4035
_load_form_data              | Request            | src/flask/wrappers.py               | 197   | 5    | 0    | No   | 0.4035
full_dispatch_request        | Flask              | src/flask/app.py                    | 995   | 5    | 4    | Yes  | 0.4035
