=================================================================================================================================================
REPOSITORY: HTTPX | FULL CONFUSION SCORE RANKING
=================================================================================================================================================
Function                     | Class              | File Path                           | Line  | Comp | Hits | Doc? | Score 
-------------------------------------------------------------------------------------------------------------------------------------------------
urlparse                     | None               | httpx/_urlparse.py                  | 213   | 36   | 1    | No   | 0.8333
_send_handling_auth          | Client             | httpx/_client.py                    | 930   | 4    | 3    | No   | 0.6952
_send_handling_redirects     | Client             | httpx/_client.py                    | 964   | 8    | 2    | No   | 0.6642
_send_handling_redirects     | AsyncClient        | httpx/_client.py                    | 1679  | 8    | 2    | No   | 0.6642
__init__                     | Response           | httpx/_models.py                    | 516   | 3    | 2    | No   | 0.6165
__init__                     | URL                | httpx/_urls.py                      | 77    | 10   | 1    | No   | 0.5857
__init__                     | Cookies            | httpx/_models.py                    | 1084  | 9    | 1    | No   | 0.5762
encode_host                  | None               | httpx/_urlparse.py                  | 348   | 8    | 1    | No   | 0.5667
auth_flow                    | DigestAuth         | httpx/_auth.py                      | 193   | 7    | 1    | No   | 0.5571
send                         | ASGITransport      | httpx/_transports/asgi.py           | 148   | 6    | 1    | No   | 0.5476
_build_auth                  | BaseClient         | httpx/_client.py                    | 445   | 5    | 1    | No   | 0.5381
__init__                     | HTTPTransport      | httpx/_transports/default.py        | 136   | 5    | 1    | No   | 0.5381
__init__                     | AsyncHTTPTransport | httpx/_transports/default.py        | 280   | 5    | 1    | No   | 0.5381
text                         | Response           | httpx/_models.py                    | 642   | 4    | 1    | No   | 0.5286
_build_request_auth          | BaseClient         | httpx/_client.py                    | 457   | 4    | 1    | No   | 0.5286
_send_handling_auth          | AsyncClient        | httpx/_client.py                    | 1645  | 4    | 1    | No   | 0.5286
print_response               | None               | httpx/_main.py                      | 170   | 4    | 1    | No   | 0.5286
__init__                     | Proxy              | httpx/_config.py                    | 202   | 4    | 1    | No   | 0.5286
_get_proxy_map               | BaseClient         | httpx/_client.py                    | 239   | 3    | 1    | No   | 0.5190
auth_flow                    | NetRCAuth          | httpx/_auth.py                      | 157   | 3    | 1    | No   | 0.5190
content                      | Request            | httpx/_models.py                    | 463   | 2    | 1    | No   | 0.5095
content                      | Response           | httpx/_models.py                    | 636   | 2    | 1    | No   | 0.5095
cookies                      | Response           | httpx/_models.py                    | 835   | 2    | 1    | No   | 0.5095
update                       | Cookies            | httpx/_models.py                    | 1205  | 2    | 1    | No   | 0.5095
_set_timeout                 | BaseClient         | httpx/_client.py                    | 584   | 2    | 1    | No   | 0.5095
handle_request               | MockTransport      | httpx/_transports/mock.py           | 19    | 2    | 1    | No   | 0.5095
__iter__                     | WSGIByteStream     | httpx/_transports/wsgi.py           | 35    | 2    | 1    | No   | 0.5095
__iter__                     | ResponseStream     | httpx/_transports/default.py        | 125   | 2    | 1    | No   | 0.5095
__aiter__                    | AsyncResponseSt... | httpx/_transports/default.py        | 269   | 2    | 1    | No   | 0.5095
request                      | Response           | httpx/_models.py                    | 607   | 1    | 1    | No   | 0.5000
json                         | Response           | httpx/_models.py                    | 831   | 1    | 1    | No   | 0.5000
__repr__                     | Response           | httpx/_models.py                    | 859   | 1    | 1    | No   | 0.5000
__init__                     | _CookieCompatRe... | httpx/_models.py                    | 1249  | 1    | 1    | No   | 0.5000
__init__                     | _CookieCompatRe... | httpx/_models.py                    | 1267  | 1    | 1    | No   | 0.5000
timeout                      | BaseClient         | httpx/_client.py                    | 254   | 1    | 1    | No   | 0.5000
timeout                      | BaseClient         | httpx/_client.py                    | 258   | 1    | 1    | No   | 0.5000
auth                         | BaseClient         | httpx/_client.py                    | 284   | 1    | 1    | No   | 0.5000
